ID,District,Street,Date_Time,Lat,Long,Street_Lights,Police_Presence,Emergency_Services,Crowd_Level,Active_Shops,Public_Transport,Incident_Reports,Emergency_Calls,Tourist_Season,Risk_Level
TUN_0044,La Marsa,Rue du Port,2024-10-14 09:07:00,36.75175599632001,10.252818600042596,True,False,True,1.0,39.0,True,4.0,12.0,,2.0
TUN_0045,Mutuelleville,Rue des Jasmins,2024-10-09 20:49:00,36.832504456870794,10.22387026118726,True,False,False,2.0,8.0,,1.0,18.0,True,3.0
TUN_0046,,,2024-10-29 03:27:00,36.762342215217885,10.146426782560031,False,True,False,2.0,32.0,True,2.0,10.0,True,2.0
TUN_0047,Lafayette,Avenue de la Liberté,2024-10-25 23:23:00,36.804013604235564,10.100188608505498,True,False,False,2.0,38.0,True,4.0,22.0,False,3.0
TUN_0048,Mutuelleville,Avenue Louis Braille,2024-10-29 08:00:00,36.809342055868655,10.251430116061488,True,False,True,3.0,15.0,False,6.0,15.0,False,3.0
TUN_0049,Lafayette,Avenue de Londres,2024-10-08 19:58:00,36.73697089110511,10.29704146518222,True,True,True,1.0,39.0,False,0.0,18.0,False,2.0
TUN_0050,La Medina,Rue Jamaa Ezzitouna,2024-10-28 19:15:00,36.89391692555291,10.261982624061218,True,False,True,1.0,,,5.0,21.0,,3.0
TUN_0051,El Menzah,Avenue Hédi Nouira,2024-10-14 10:37:00,36.85502656467222,10.192041323631322,True,False,True,3.0,10.0,True,0.0,4.0,False,2.0
TUN_0052,,,2024-10-16 06:19:00,36.887899788312836,10.280753452279821,True,False,False,3.0,8.0,True,0.0,3.0,True,2.0
TUN_0053,Lafayette,Avenue de la Liberté,2024-10-18 00:44:00,36.87896547008553,10.18196953462367,True,True,False,4.0,11.0,True,3.0,19.0,False,2.0
TUN_0054,Lafayette,,2024-10-24 17:35:00,36.81957999576222,10.204986816848693,False,True,False,5.0,22.0,,6.0,16.0,,3.0
TUN_0055,Mutuelleville,Avenue Louis Braille,2024-10-09 02:46:00,36.88437484700462,10.195425953479138,True,True,True,3.0,39.0,False,3.0,3.0,True,1.0
TUN_0056,El Menzah,Avenue de la Liberté,2024-10-15 04:43:00,36.717698500410386,10.189524774533105,True,False,True,4.0,27.0,False,2.0,7.0,False,2.0
TUN_0057,Cite Olympique,Rue Pierre de Coubertin,2024-10-23 07:32:00,36.739196572483834,10.255038153858782,True,False,True,3.0,22.0,True,2.0,21.0,True,2.0
TUN_0058,Le Bardo,,2024-10-16 08:06:00,36.70904545778211,10.205353781453898,True,True,True,5.0,14.0,True,7.0,14.0,False,2.0
TUN_0059,El Menzah,Avenue Hédi Nouira,2024-10-03 23:09:00,36.765066066152656,10.163343424405044,True,False,True,,11.0,True,2.0,7.0,False,2.0
TUN_0060,Cite Olympique,Avenue du Stade,2024-11-01 20:54:00,36.7777354579379,10.151631633531695,True,True,True,2.0,32.0,True,2.0,6.0,True,1.0
TUN_0061,Cite Olympique,,2024-10-21 15:57:00,36.75426980635478,10.107549463393486,True,True,False,1.0,29.0,True,4.0,11.0,False,2.0
TUN_0062,La Marsa,Rue du Port,2024-10-23 19:32:00,36.865747501830384,10.216639032376609,True,False,False,5.0,18.0,True,0.0,15.0,True,2.0
TUN_0063,Lafayette,Rue d'Algérie,2024-11-02 04:44:00,36.771350665338716,10.145992283080206,False,True,True,1.0,16.0,True,4.0,8.0,False,2.0
TUN_0064,Cite Olympique,Avenue du Stade,2024-10-27 03:51:00,36.756186901937475,10.129626784403277,,True,True,,24.0,False,0.0,6.0,False,2.0
TUN_0065,,,2024-10-26 10:11:00,36.80853921663165,10.230765992765535,True,True,True,2.0,9.0,True,7.0,9.0,True,2.0
TUN_0066,,,2024-10-12 13:47:00,36.728184844994956,10.23624185156431,False,True,True,2.0,5.0,False,6.0,7.0,False,3.0
TUN_0067,Les Berges du Lac,Rue du Lac Windermere,2024-10-21 16:22:00,36.86043939615081,10.250430978451533,True,False,True,5.0,11.0,True,7.0,19.0,False,3.0
TUN_0068,Mutuelleville,Avenue Taieb Mehiri,2024-10-25 07:58:00,36.71491012873596,10.200715379267718,False,False,True,1.0,14.0,True,7.0,6.0,True,3.0
TUN_0069,,,2024-10-13 05:17:00,36.897377387320105,10.278810921040778,True,False,True,2.0,37.0,,3.0,11.0,True,2.0
TUN_0070,Mutuelleville,Rue des Jasmins,2024-10-17 03:24:00,36.85444895385933,10.287268550679647,True,True,,2.0,13.0,True,6.0,2.0,True,2.0
TUN_0071,Les Berges du Lac,Boulevard de la Terre,2024-10-27 15:58:00,36.739743136306835,10.261474187958498,False,False,True,5.0,36.0,True,1.0,7.0,False,2.0
TUN_0072,Lafayette,Avenue de Londres,2024-11-02 03:55:00,36.701104423424724,10.227118696401638,True,True,,1.0,17.0,True,3.0,3.0,False,2.0
TUN_0073,Mutuelleville,,2024-10-15 12:42:00,36.86309228569097,10.160744190718237,True,True,True,4.0,33.0,False,4.0,17.0,False,2.0
TUN_0074,Mutuelleville,Rue des Orangers,2024-10-10 15:29:00,36.84137146876952,10.296588984324044,True,True,True,1.0,37.0,True,1.0,,True,1.0
TUN_0075,Montplaisir,Avenue Mohamed V,2024-10-14 23:31:00,36.845801433608194,10.154827233438388,False,True,,1.0,35.0,False,1.0,23.0,False,3.0
TUN_0076,Le Bardo,Avenue de Paris,2024-10-12 22:20:00,36.85425406933719,10.140531384398086,False,True,True,4.0,3.0,True,3.0,4.0,False,2.0
TUN_0077,Mutuelleville,,2024-10-27 08:10:00,36.71480893034682,10.188430822757317,True,True,True,3.0,36.0,,0.0,14.0,True,1.0
TUN_0078,La Marsa,Rue du Port,2024-10-07 00:31:00,36.77169314570886,10.111368114142477,True,False,True,2.0,24.0,False,2.0,20.0,False,3.0
TUN_0079,Montplaisir,Rue d'Iran,2024-10-13 20:54:00,36.72317381190503,10.29569889293436,False,True,False,2.0,13.0,True,4.0,23.0,False,3.0
TUN_0080,,,,36.872620685175114,10.217686711283285,True,True,False,1.0,32.0,True,2.0,3.0,True,2.0
TUN_0081,,,2024-10-12 12:15:00,36.82465962536551,10.211390418332835,True,True,True,1.0,23.0,True,6.0,0.0,False,2.0
TUN_0082,Carthage,Avenue Habib Bourguiba,2024-10-21 18:42:00,36.76617960497053,10.231159255979945,True,True,False,5.0,22.0,True,4.0,1.0,True,2.0
TUN_0083,Cite Olympique,Rue des Sports,2024-10-11 23:45:00,36.71271167005721,10.199404729555441,True,True,False,1.0,20.0,False,3.0,20.0,True,3.0
TUN_0084,La Medina,Rue Sidi Ben Arous,2024-10-13 01:31:00,36.762196464343134,10.106412703418908,True,False,True,1.0,23.0,True,3.0,5.0,False,2.0
TUN_0085,El Menzah,Avenue Hédi Nouira,2024-10-03 23:28:00,36.76503666440535,10.222462257768079,True,True,True,4.0,24.0,True,1.0,14.0,True,1.0
TUN_0086,La Marsa,Avenue du 14 Janvier,,36.84592123566761,10.243234775391286,True,,,5.0,35.0,True,4.0,21.0,True,2.0
TUN_0087,Mutuelleville,Rue des Orangers,2024-10-11 18:09:00,36.82751149427104,10.18334981212481,False,True,True,3.0,39.0,True,4.0,3.0,False,
TUN_0088,Le Bardo,Rue du Musée,2024-10-21 17:56:00,36.87744254851526,10.251459114414239,True,True,True,5.0,5.0,True,6.0,22.0,True,2.0
TUN_0089,La Medina,Rue Sidi Ben Arous,2024-10-26 18:52:00,36.79444298503239,10.145400259867683,False,False,True,3.0,2.0,True,4.0,5.0,,3.0
TUN_0090,El Menzah,Avenue de la Liberté,2024-10-05 11:46:00,36.72391884918766,10.144255318213236,True,False,True,2.0,6.0,False,3.0,12.0,False,2.0
TUN_0091,Lafayette,Rue de Marseille,2024-10-27 21:46:00,36.8426489574446,10.132283397537515,False,True,False,5.0,19.0,True,4.0,24.0,True,3.0
TUN_0092,Cite Olympique,Rue Pierre de Coubertin,2024-10-05 20:23:00,36.85215700972338,10.174398951957832,True,True,True,5.0,7.0,True,6.0,21.0,False,3.0
TUN_0093,Cite Olympique,Rue des Sports,2024-10-08 21:58:00,36.8122554395139,10.269402407077818,True,False,True,3.0,37.0,True,3.0,23.0,False,2.0
TUN_0094,Mutuelleville,Rue des Orangers,2024-10-05 12:03:00,36.854193435990915,10.265582412429813,False,,True,2.0,,True,2.0,5.0,False,2.0
TUN_0095,La Medina,Rue de la Kasbah,2024-10-29 00:28:00,36.79875911927288,10.1765648415927,True,,True,3.0,11.0,False,6.0,,False,2.0
TUN_0096,El Menzah,Avenue Hédi Nouira,2024-10-22 19:08:00,36.8045465658764,10.217823747196048,True,False,True,4.0,17.0,True,0.0,8.0,False,2.0
TUN_0097,Mutuelleville,Avenue Taieb Mehiri,2024-10-07 03:57:00,36.78550820367171,10.244163263294984,True,False,True,5.0,36.0,True,4.0,1.0,,2.0
TUN_0098,Cite Olympique,Avenue du Stade,2024-10-28 19:18:00,36.70508382534882,10.148241354925604,True,False,True,1.0,36.0,,4.0,14.0,True,2.0
TUN_0099,Lafayette,Rue d'Algérie,2024-10-10 05:12:00,36.721578285398664,10.133628217178948,True,False,True,1.0,17.0,False,,15.0,False,3.0
TUN_0100,Montplaisir,Rue du Caire,2024-10-30 02:39:00,36.70628583713735,10.294419198642462,True,,True,1.0,4.0,True,2.0,10.0,False,2.0
TUN_0101,Le Bardo,Rue du Musée,2024-10-14 20:58:00,36.82728208225276,10.223511462641923,True,False,False,2.0,36.0,True,5.0,12.0,True,3.0
TUN_0102,Le Bardo,Avenue Habib Bourguiba,2024-10-18 04:25:00,36.762871196215265,10.296283144366733,False,False,True,4.0,20.0,True,0.0,5.0,True,2.0
TUN_0103,El Menzah,Rue Mohamed V,2024-10-17 00:03:00,36.80171413823294,10.167551197426446,False,True,True,4.0,27.0,False,3.0,17.0,False,3.0
TUN_0104,Lafayette,Avenue de Londres,2024-10-07 09:33:00,36.881513294785215,10.240606339994827,True,True,False,5.0,12.0,True,2.0,5.0,True,2.0
TUN_0105,,,2024-10-12 22:26:00,36.74985844582978,10.144520727308247,True,False,True,,5.0,True,3.0,15.0,False,2.0
TUN_0106,La Medina,Rue de la Kasbah,2024-10-22 18:52:00,36.782076584607125,10.152240034254783,,True,True,4.0,24.0,False,6.0,20.0,False,3.0
TUN_0107,Cite Olympique,Avenue du Stade,2024-10-11 13:32:00,36.85111022770861,10.202380424253924,False,True,False,3.0,36.0,True,1.0,5.0,True,2.0
TUN_0108,El Menzah,Avenue de la Liberté,2024-10-10 03:42:00,36.745759633098324,10.163923625101614,False,True,True,4.0,36.0,True,6.0,6.0,False,2.0
TUN_0109,La Medina,Rue Jamaa Ezzitouna,2024-10-22 21:24:00,36.71539598196576,10.133524312768117,True,,True,1.0,25.0,False,,12.0,False,2.0
TUN_0110,Lafayette,Rue d'Algérie,2024-10-26 06:24:00,36.757950290582755,10.152576140397866,False,False,True,4.0,27.0,True,1.0,7.0,False,2.0
TUN_0111,Montplaisir,Rue d'Iran,2024-10-19 09:56:00,36.7322442574508,10.107149678893173,False,True,,2.0,35.0,False,5.0,21.0,False,3.0
TUN_0112,Le Bardo,Avenue de Paris,2024-10-17 06:02:00,36.88593953046851,10.240884724295498,True,True,False,2.0,17.0,,2.0,12.0,False,2.0
TUN_0113,Le Bardo,Avenue Habib Bourguiba,2024-10-05 02:59:00,36.861624075912886,10.198423331417173,True,False,True,5.0,7.0,False,0.0,2.0,True,2.0
TUN_0114,Mutuelleville,Avenue Taieb Mehiri,2024-10-30 23:39:00,36.826680751302085,10.118848613280905,True,True,True,2.0,29.0,True,5.0,20.0,False,2.0
TUN_0115,Les Berges du Lac,Rue du Lac Victoria,,36.874292118037545,10.134338798625699,True,True,True,3.0,9.0,True,7.0,13.0,True,2.0
TUN_0116,La Medina,Rue Sidi Ben Arous,2024-11-02 07:48:00,36.860734415379824,10.120506907622529,,,True,5.0,14.0,True,6.0,21.0,,3.0
TUN_0117,La Medina,Rue de la Kasbah,2024-10-14 01:56:00,36.73731401177721,10.222518561655175,True,False,True,1.0,17.0,True,1.0,22.0,True,3.0
TUN_0118,La Medina,Rue Jamaa Ezzitouna,2024-10-15 05:41:00,36.878511799697996,10.118842072722499,False,False,True,3.0,38.0,False,0.0,3.0,True,2.0
TUN_0119,La Marsa,Avenue Habib Bourguiba,2024-10-30 09:08:00,36.80786844838313,10.250856466607043,False,False,False,2.0,17.0,True,4.0,17.0,True,3.0
TUN_0120,Mutuelleville,Avenue Louis Braille,2024-10-28 19:35:00,36.86148803103281,10.104102183864079,True,True,False,,37.0,False,3.0,9.0,True,2.0
TUN_0121,Cite Olympique,Avenue Mohamed Ali,2024-10-21 07:20:00,36.8792182599847,10.149875157599178,False,True,True,4.0,34.0,True,0.0,8.0,False,2.0
TUN_0122,Le Bardo,Avenue de Paris,2024-10-05 15:27:00,36.76360069499437,10.278133335178381,True,True,True,3.0,8.0,True,7.0,10.0,False,2.0
TUN_0123,Mutuelleville,Avenue Taieb Mehiri,2024-11-02 09:24:00,36.72201038490554,10.24370626362445,True,,True,5.0,7.0,True,5.0,21.0,False,3.0
TUN_0124,,,2024-10-07 22:16:00,36.74558703250839,10.114593666585137,,True,True,5.0,6.0,False,7.0,16.0,,3.0
TUN_0125,Cite Olympique,Avenue du Stade,2024-10-25 19:04:00,36.78542155772525,10.264225220897037,True,False,True,1.0,9.0,True,4.0,11.0,True,2.0
TUN_0126,Lafayette,Rue d'Algérie,2024-11-02 04:36:00,36.8636029531845,10.198607024308041,True,True,True,1.0,21.0,False,3.0,5.0,True,2.0
TUN_0127,La Marsa,Avenue du 14 Janvier,,36.872146116651265,10.269356605433767,False,False,True,2.0,10.0,True,1.0,10.0,False,2.0
TUN_0128,Cite Olympique,Rue des Sports,2024-10-13 21:48:00,36.701390426106244,10.220147954890079,False,False,True,5.0,15.0,False,1.0,4.0,True,2.0
TUN_0129,La Marsa,Rue du Port,2024-10-21 10:00:00,36.802149460515515,10.236366606406571,True,True,True,4.0,11.0,True,5.0,15.0,True,2.0
TUN_0130,Carthage,Avenue de la République,2024-10-28 19:27:00,36.783482200629756,10.298700312079143,False,True,True,5.0,25.0,True,0.0,4.0,False,2.0
TUN_0131,El Menzah,Rue des Entrepreneurs,2024-10-28 05:50:00,36.744421562094146,10.146467109184803,True,True,True,,30.0,True,2.0,17.0,True,1.0
TUN_0132,La Marsa,Avenue du 14 Janvier,2024-10-07 13:52:00,36.72397307346674,10.224789114952278,False,True,False,5.0,27.0,False,2.0,23.0,,3.0
TUN_0133,Les Berges du Lac,Boulevard de la Terre,2024-10-13 22:11:00,36.76752303428073,10.192064278011479,False,False,True,5.0,1.0,True,3.0,17.0,False,3.0
TUN_0134,Le Bardo,Avenue Habib Bourguiba,2024-10-20 12:24:00,36.8885819407825,10.107890390584538,True,True,True,2.0,7.0,False,1.0,0.0,False,2.0
TUN_0135,Carthage,Avenue Habib Bourguiba,,36.764640586404155,10.102894128300573,True,True,True,,8.0,True,4.0,12.0,True,1.0
TUN_0136,El Menzah,Rue Mohamed V,2024-10-28 15:53:00,36.803758124348676,10.123845715563572,True,False,False,4.0,3.0,True,1.0,14.0,True,2.0
TUN_0137,La Marsa,Rue de la Plage,2024-10-07 20:56:00,36.84060379177904,10.22981834810771,True,False,True,5.0,36.0,True,5.0,1.0,False,2.0
TUN_0138,La Medina,Rue Jamaa Ezzitouna,2024-10-04 19:18:00,36.77272592047586,10.21343261758268,True,False,True,3.0,16.0,False,2.0,19.0,True,2.0
TUN_0139,Mutuelleville,Avenue Louis Braille,2024-10-16 12:20:00,36.89435641654419,10.210685912232746,True,False,True,3.0,5.0,True,4.0,8.0,False,2.0
TUN_0140,Les Berges du Lac,Rue du Lac Michigan,2024-10-07 14:06:00,36.89248945898842,10.106371352505652,False,True,,3.0,0.0,True,6.0,15.0,False,3.0
TUN_0141,La Marsa,Avenue Habib Bourguiba,2024-10-09 08:15:00,36.750356459165076,10.193860599272002,True,True,,2.0,13.0,True,0.0,0.0,False,1.0
TUN_0142,Cite Olympique,Rue Pierre de Coubertin,2024-10-22 07:05:00,36.799449701178474,10.284924563568506,False,True,True,4.0,7.0,False,,20.0,False,3.0
TUN_0143,Cite Olympique,Rue des Sports,2024-10-30 23:32:00,36.76017566196335,10.179518373862129,True,True,True,4.0,19.0,True,5.0,21.0,False,2.0
TUN_0144,La Marsa,Rue de la Plage,2024-10-19 22:30:00,36.7569680988755,10.224984493957692,True,True,False,2.0,16.0,True,7.0,5.0,False,2.0
TUN_0145,La Medina,Rue Sidi Ben Arous,2024-10-18 03:42:00,36.707377389470906,10.255963735124629,,True,True,2.0,38.0,False,7.0,6.0,True,2.0
TUN_0146,Cite Olympique,Avenue Mohamed Ali,2024-10-15 13:42:00,36.82191286679598,10.256785055828377,False,True,False,1.0,13.0,True,0.0,1.0,True,2.0
TUN_0147,Lafayette,Rue de Marseille,2024-10-24 01:07:00,36.800535804645776,10.203856016479055,True,True,False,1.0,25.0,False,2.0,7.0,True,2.0
TUN_0148,Cite Olympique,Rue des Sports,2024-10-26 08:34:00,36.71029575025,10.271590389080467,True,True,True,5.0,32.0,True,1.0,17.0,True,1.0
TUN_0149,La Medina,Rue de la Kasbah,2024-10-18 09:38:00,36.75572929284733,10.17827561867275,True,False,False,3.0,11.0,True,5.0,7.0,False,3.0
TUN_0150,La Medina,Rue de la Kasbah,2024-10-10 19:57:00,36.88165317719333,10.27773864295696,True,,False,2.0,2.0,True,7.0,0.0,True,3.0
TUN_0151,Cite Olympique,Avenue Mohamed Ali,2024-10-21 14:50:00,36.7479123781334,10.148045433279108,False,True,True,2.0,27.0,True,0.0,5.0,False,2.0
TUN_0152,Mutuelleville,Avenue Louis Braille,2024-10-15 07:14:00,36.72897897441825,10.156043281398114,False,True,True,1.0,23.0,True,7.0,21.0,False,3.0
TUN_0153,Les Berges du Lac,Rue du Lac Michigan,2024-10-04 03:59:00,36.79789055205551,10.1106241248398,True,False,True,5.0,10.0,True,6.0,21.0,,3.0
TUN_0154,Mutuelleville,Rue des Orangers,2024-10-16 06:40:00,36.89713009082212,10.259116367308456,True,True,True,1.0,12.0,True,6.0,10.0,False,2.0
TUN_0155,Montplaisir,Avenue Kheireddine Pacha,2024-10-05 06:12:00,36.7484110543023,10.18341104724654,True,False,True,3.0,17.0,True,1.0,10.0,False,2.0
TUN_0156,Mutuelleville,Rue des Orangers,2024-10-07 12:30:00,36.834427109481176,10.14582332278228,False,True,True,4.0,9.0,True,4.0,23.0,False,
TUN_0157,La Medina,Rue de la Kasbah,2024-10-20 20:38:00,36.85232392306574,10.146358055523315,True,True,True,1.0,35.0,False,2.0,9.0,True,2.0
TUN_0158,Les Berges du Lac,Rue du Lac Victoria,2024-10-09 13:01:00,36.747527508798484,10.280279988245848,,False,True,3.0,17.0,True,2.0,12.0,True,2.0
TUN_0159,Cite Olympique,,2024-10-26 12:51:00,36.84564326972237,10.266783320092207,False,True,,5.0,28.0,True,2.0,15.0,True,2.0
TUN_0160,Montplaisir,Avenue Kheireddine Pacha,2024-10-07 21:56:00,36.77355662654385,10.210706177071437,True,True,True,2.0,22.0,True,7.0,21.0,False,2.0
TUN_0161,La Medina,Rue Sidi Ben Arous,2024-10-21 16:03:00,36.82646116611872,10.223222160083145,False,False,True,2.0,5.0,True,7.0,14.0,False,3.0
TUN_0162,,,2024-10-20 23:14:00,36.82670594215218,10.194865114110058,True,,False,2.0,23.0,True,5.0,3.0,True,2.0
TUN_0163,,,2024-10-08 07:36:00,36.80715493681495,10.178333308575763,True,False,True,1.0,,False,1.0,5.0,True,2.0
TUN_0164,Les Berges du Lac,,2024-11-02 17:08:00,36.71805795401088,10.283095376243667,True,False,,5.0,33.0,True,0.0,0.0,False,2.0
TUN_0165,Cite Olympique,Avenue du Stade,2024-10-16 02:37:00,36.86706049911785,10.12512254070406,,False,True,3.0,2.0,True,6.0,24.0,True,3.0
TUN_0166,Les Berges du Lac,Rue du Lac Michigan,2024-10-30 15:39:00,36.76415601299435,10.183689357943246,True,True,False,3.0,30.0,True,5.0,12.0,False,2.0
TUN_0167,Carthage,Rue des Suffetes,2024-10-15 09:44:00,36.73730370207997,10.168912381597575,False,True,False,3.0,28.0,True,7.0,8.0,True,3.0
TUN_0168,,,2024-10-15 13:40:00,36.708155028310955,10.19963014405023,True,True,False,3.0,15.0,True,6.0,23.0,False,3.0
TUN_0169,Mutuelleville,Avenue Louis Braille,2024-10-28 10:52:00,36.81817858863765,10.191526374909035,True,True,True,3.0,7.0,True,0.0,15.0,False,2.0
